CourseId,CourseName,Category,Skill,Level,Duration
C001,Advanced Leadership,Behavioral,Leadership,Advanced,3 hours
C002,Effective Communication,Behavioral,Communication,Intermediate,2 hours
C003,Data Science Bootcamp,Technical,Technical Skills,Beginner,5 hours
C004,Project Management Principles,Management,Project Management,Beginner,4 hours
C005,Introduction to Python Programming,Technical,Programming,Beginner,6 hours
C006,Advanced Excel Formulas and Functions,Technical,Excel,Advanced,2 hours
C007,Digital Marketing Strategies,Marketing,Digital Marketing,Intermediate,3 hours
C008,Machine Learning A-Z,Technical,Machine Learning,Advanced,7 hours
C009,The Complete SQL Bootcamp,Technical,SQL,Beginner,5 hours
C010,Creative Problem Solving,Behavioral,Problem Solving,Intermediate,2 hours
C011,Negotiation Skills,Behavioral,Negotiation,Advanced,3 hours
C012,Time Management Mastery,Behavioral,Time Management,Intermediate,2 hours
C013,Fundamentals of Graphic Design,Creative,Design,Beginner,4 hours
C014,Web Development Bootcamp,Technical,Web Development,Beginner,8 hours
C015,Data Analysis with Pandas,Technical,Data Analysis,Intermediate,5 hours
C016,Introduction to Cybersecurity,Technical,Cybersecurity,Beginner,3 hours
C017,Advanced CSS Techniques,Technical,CSS,Advanced,2 hours
C018,User Experience (UX) Design Fundamentals,Creative,UX Design,Beginner,4 hours
C019,Agile Project Management,Management,Agile,Intermediate,3 hours
C020,Introduction to Cloud Computing,Technical,Cloud Computing,Beginner,5 hours
C021,Social Media Marketing,Marketing,Social Media,Intermediate,3 hours
C022,Search Engine Optimization (SEO) Basics,Marketing,SEO,Beginner,2 hours
C023,Content Marketing Strategy,Marketing,Content Marketing,Intermediate,3 hours
C024,Email Marketing Essentials,Marketing,Email Marketing,Beginner,2 hours
C025,Google Ads Certification,Marketing,Google Ads,Advanced,4 hours
C026,Facebook Blueprint Certification,Marketing,Facebook Ads,Advanced,4 hours
C027,Instagram Marketing 101,Marketing,Instagram,Beginner,2 hours
C028,LinkedIn Advertising,Marketing,LinkedIn,Intermediate,3 hours
C029,YouTube Marketing,Marketing,YouTube,Beginner,2 hours
C030,Advanced Data Visualization with Tableau,Technical,Tableau,Advanced,3 hours
C031,Introduction to R Programming,Technical,R,Beginner,6 hours
C032,Deep Learning Specialization,Technical,Deep Learning,Advanced,8 hours
C033,Data Science for Business,Technical,Data Science,Intermediate,5 hours
C034,Big Data Analytics,Technical,Big Data,Advanced,7 hours
C035,Introduction to DevOps,Technical,DevOps,Beginner,4 hours
C036,Continuous Integration and Continuous Deployment (CI/CD),Technical,CI/CD,Intermediate,3 hours
C037,Software Testing and Debugging,Technical,Software Testing,Advanced,5 hours
C038,Mobile App Development,Technical,Mobile Development,Beginner,6 hours
C039,Game Development for Beginners,Technical,Game Development,Beginner,5 hours
C040,Introduction to Blockchain,Technical,Blockchain,Beginner,3 hours
C041,Ethical Hacking,Technical,Ethical Hacking,Advanced,7 hours
C042,Penetration Testing,Technical,Penetration Testing,Advanced,6 hours
C043,Network Security Fundamentals,Technical,Network Security,Intermediate,4 hours
C044,Introduction to Internet of Things (IoT),Technical,IoT,Beginner,3 hours
C045,Data Engineering on Google Cloud,Technical,Data Engineering,Advanced,8 hours
C046,Data Warehousing for Beginners,Technical,Data Warehousing,Beginner,5 hours
C047,Introduction to NoSQL Databases,Technical,NoSQL,Beginner,4 hours
C048,Mastering MongoDB,Technical,MongoDB,Advanced,6 hours
C049,Introduction to Artificial Intelligence,Technical,AI,Beginner,3 hours
C050,AI for Everyone,Technical,AI,Intermediate,2 hours
C051,Building AI Powered Chatbots Without Programming,Technical,AI,Beginner,4 hours
C052,Advanced AI: Deep Reinforcement Learning in Python,Technical,AI,Advanced,7 hours
C053,Introduction to Quantum Computing,Technical,Quantum Computing,Beginner,5 hours
C054,Blockchain Basics,Technical,Blockchain,Beginner,3 hours
C055,Smart Contracts and Decentralized Applications (DApps),Technical,Blockchain,Intermediate,4 hours
C056,Mastering Bitcoin,Technical,Bitcoin,Advanced,6 hours
C057,Introduction to Ethereum,Technical,Ethereum,Beginner,3 hours
C058,Building Web Apps with Flask,Technical,Flask,Intermediate,5 hours
C059,Data Science with Python and R,Technical,Data Science,Advanced,8 hours
C060,Introduction to Data Science,Technical,Data Science,Beginner,4 hours
C061,Data Science Methodology,Technical,Data Science,Intermediate,3 hours
C062,Data Visualization with Python,Technical,Data Visualization,Advanced,5 hours
C063,Introduction to Statistics,Technical,Statistics,Beginner,4 hours
C064,Inferential Statistics,Technical,Statistics,Intermediate,3 hours
C065,Regression Analysis,Technical,Statistics,Advanced,5 hours
C066,Introduction to Econometrics,Technical,Econometrics,Beginner,4 hours
C067,Time Series Analysis,Technical,Statistics,Advanced,6 hours
C068,Introduction to Machine Learning,Technical,Machine Learning,Beginner,5 hours
C069,Machine Learning with Python,Technical,Machine Learning,Intermediate,6 hours
C070,Deep Learning with TensorFlow,Technical,Deep Learning,Advanced,7 hours
C071,Introduction to Natural Language Processing,Technical,NLP,Beginner,4 hours
C072,Sentiment Analysis with Python,Technical,NLP,Intermediate,5 hours
C073,Topic Modeling with Gensim,Technical,NLP,Advanced,6 hours
C074,Introduction to Computer Vision,Technical,Computer Vision,Beginner,4 hours
C075,Image Processing with Python,Technical,Computer Vision,Intermediate,5 hours
C076,Facial Recognition with Python,Technical,Computer Vision,Advanced,6 hours
C077,Introduction to Reinforcement Learning,Technical,Reinforcement Learning,Beginner,4 hours
C078,Reinforcement Learning with Python,Technical,Reinforcement Learning,Intermediate,5 hours
C079,Advanced Reinforcement Learning,Technical,Reinforcement Learning,Advanced,6 hours
C080,Introduction to Ethical Hacking,Technical,Ethical Hacking,Beginner,4 hours
C081,Web Application Security Testing,Technical,Security,Intermediate,5 hours
C082,Network Defense and Countermeasures,Technical,Security,Advanced,6 hours
C083,Introduction to Digital Forensics,Technical,Forensics,Beginner,4 hours
C084,Incident Response and Handling,Technical,Forensics,Intermediate,5 hours
C085,Advanced Digital Forensics,Technical,Forensics,Advanced,6 hours
C086,Introduction to Cryptography,Technical,Cryptography,Beginner,4 hours
C087,Applied Cryptography,Technical,Cryptography,Intermediate,5 hours
C088,Advanced Cryptography,Technical,Cryptography,Advanced,6 hours
C089,Introduction to Cloud Security,Technical,Cloud Security,Beginner,4 hours
C090,Cloud Security Architecture,Technical,Cloud Security,Intermediate,5 hours
C091,Advanced Cloud Security,Technical,Cloud Security,Advanced,6 hours
C092,Introduction to DevSecOps,Technical,DevSecOps,Beginner,4 hours
C093,DevSecOps Practices and Tools,Technical,DevSecOps,Intermediate,5 hours
C094,Advanced DevSecOps,Technical,DevSecOps,Advanced,6 hours
C095,Introduction to Site Reliability Engineering,Technical,SRE,Beginner,4 hours
C096,Site Reliability Engineering Practices,Technical,SRE,Intermediate,5 hours
C097,Advanced Site Reliability Engineering,Technical,SRE,Advanced,6 hours
C098,Introduction to IT Service Management,Management,ITSM,Beginner,4 hours
C099,ITIL Foundation Certification,Management,ITIL,Intermediate,5 hours
C100,Advanced ITIL Practices,Management,ITIL,Advanced,6 hours
C101,Introduction to Six Sigma,Management,Six Sigma,Beginner,4 hours
C102,Lean Six Sigma Green Belt,Management,Six Sigma,Intermediate,5 hours
C103,Lean Six Sigma Black Belt,Management,Six Sigma,Advanced,6 hours
C104,Introduction to Business Analysis,Management,Business Analysis,Beginner,4 hours
C105,Agile Business Analysis,Management,Business Analysis,Intermediate,5 hours
C106,Advanced Business Analysis,Management,Business Analysis,Advanced,6 hours
C107,Introduction to Change Management,Management,Change Management,Beginner,4 hours
C108,Change Management Practitioner,Management,Change Management,Intermediate,5 hours
C109,Advanced Change Management,Management,Change Management,Advanced,6 hours
C110,Introduction to Knowledge Management,Management,Knowledge Management,Beginner,4 hours
C111,Knowledge Management Practitioner,Management,Knowledge Management,Intermediate,5 hours
C112,Advanced Knowledge Management,Management,Knowledge Management,Advanced,6 hours
C113,Introduction to Strategic Planning,Management,Strategic Planning,Beginner,4 hours
C114,Strategic Planning Practitioner,Management,Strategic Planning,Intermediate,5 hours
C115,Advanced Strategic Planning,Management,Strategic Planning,Advanced,6 hours
C116,Introduction to Operations Management,Management,Operations Management,Beginner,4 hours
C117,Operations Management Practitioner,Management,Operations Management,Intermediate,5 hours
C118,Advanced Operations Management,Management,Operations Management,Advanced,6 hours
C119,Introduction to Supply Chain Management,Management,Supply Chain Management,Beginner,4 hours
C120,Supply Chain Management Practitioner,Management,Supply Chain Management,Intermediate,5 hours
C121,Advanced Supply Chain Management,Management,Supply Chain Management,Advanced,6 hours
C122,Introduction to Project Management,Management,Project Management,Beginner,4 hours
C123,Project Management Professional (PMP)® Certification,Management,Project Management,Advanced,6 hours
C124,Introduction to Program Management,Management,Program Management,Beginner,4 hours
C125,Program Management Professional (PgMP)® Certification,Management,Program Management,Advanced,6 hours
C126,Introduction to Portfolio Management,Management,Portfolio Management,Beginner,4 hours
C127,Portfolio Management Professional (PfMP)® Certification,Management,Portfolio Management,Advanced,6 hours
C128,Introduction to Risk Management,Management,Risk Management,Beginner,4 hours
C129,Enterprise Risk Management,Management,Risk Management,Intermediate,5 hours
C130,Advanced Risk Management,Management,Risk Management,Advanced,6 hours
C131,Introduction to Quality Management,Management,Quality Management,Beginner,4 hours
C132,Total Quality Management (TQM),Management,Quality Management,Intermediate,5 hours
C133,Advanced Quality Management,Management,Quality Management,Advanced,6 hours
C134,Introduction to Performance Management,Management,Performance Management,Beginner,4 hours
C135,Performance Management Practitioner,Management,Performance Management,Intermediate,5 hours
C136,Advanced Performance Management,Management,Performance Management,Advanced,6 hours
C137,Introduction to Employee Engagement,Management,Employee Engagement,Beginner,4 hours
C138,Employee Engagement Practitioner,Management,Employee Engagement,Intermediate,5 hours
C139,Advanced Employee Engagement,Management,Employee Engagement,Advanced,6 hours
C140,Introduction to Leadership Development,Management,Leadership Development,Beginner,4 hours
C141,Leadership Development Practitioner,Management,Leadership Development,Intermediate,5 hours
C142,Advanced Leadership Development,Management,Leadership Development,Advanced,6 hours
C143,Introduction to Coaching and Mentoring,Management,Coaching,Beginner,4 hours
C144,Coaching and Mentoring Practitioner,Management,Coaching,Intermediate,5 hours
C145,Advanced Coaching and Mentoring,Management,Coaching,Advanced,6 hours
C146,Introduction to Team Building,Management,Team Building,Beginner,4 hours
C147,Team Building Practitioner,Management,Team Building,Intermediate,5 hours
C148,Advanced Team Building,Management,Team Building,Advanced,6 hours
C149,Introduction to Conflict Resolution,Management,Conflict Resolution,Beginner,4 hours
C150,Conflict Resolution Practitioner,Management,Conflict Resolution,Intermediate,5 hours
C151,Advanced Conflict Resolution,Management,Conflict Resolution,Advanced,6 hours
C152,Introduction to Negotiation,Management,Negotiation,Beginner,4 hours
C153,Negotiation Practitioner,Management,Negotiation,Intermediate,5 hours
C154,Advanced Negotiation,Management,Negotiation,Advanced,6 hours
C155,Introduction to Sales Management,Management,Sales Management,Beginner,4 hours
C156,Sales Management Practitioner,Management,Sales Management,Intermediate,5 hours
C157,Advanced Sales Management,Management,Sales Management,Advanced,6 hours
C158,Introduction to Marketing Management,Management,Marketing Management,Beginner,4 hours
C159,Marketing Management Practitioner,Management,Marketing Management,Intermediate,5 hours
C160,Advanced Marketing Management,Management,Marketing Management,Advanced,6 hours
C161,Introduction to Financial Management,Management,Financial Management,Beginner,4 hours
C162,Financial Management Practitioner,Management,Financial Management,Intermediate,5 hours
C163,Advanced Financial Management,Management,Financial Management,Advanced,6 hours
C164,Introduction to Strategic Management,Management,Strategic Management,Beginner,4 hours
C165,Strategic Management Practitioner,Management,Strategic Management,Intermediate,5 hours
C166,Advanced Strategic Management,Management,Strategic Management,Advanced,6 hours
C167,Introduction to Operations Research,Management,Operations Research,Beginner,4 hours
C168,Operations Research Practitioner,Management,Operations Research,Intermediate,5 hours
C169,Advanced Operations Research,Management,Operations Research,Advanced,6 hours
C170,Introduction to Management Information Systems,Management,MIS,Beginner,4 hours
C171,Management Information Systems Practitioner,Management,MIS,Intermediate,5 hours
C172,Advanced Management Information Systems,Management,MIS,Advanced,6 hours
C173,Introduction to Business Intelligence,Management,BI,Beginner,4 hours
C174,Business Intelligence Practitioner,Management,BI,Intermediate,5 hours
C175,Advanced Business Intelligence,Management,BI,Advanced,6 hours
C176,Introduction to Data Mining,Technical,Data Mining,Beginner,4 hours
C177,Data Mining Practitioner,Technical,Data Mining,Intermediate,5 hours
C178,Advanced Data Mining,Technical,Data Mining,Advanced,6 hours
C179,Introduction to Predictive Analytics,Technical,Analytics,Beginner,4 hours
C180,Predictive Analytics Practitioner,Technical,Analytics,Intermediate,5 hours
C181,Advanced Predictive Analytics,Technical,Analytics,Advanced,6 hours
C182,Introduction to Prescriptive Analytics,Technical,Analytics,Beginner,4 hours
C183,Prescriptive Analytics Practitioner,Technical,Analytics,Intermediate,5 hours
C184,Advanced Prescriptive Analytics,Technical,Analytics,Advanced,6 hours
C185,Introduction to Data Governance,Management,Data Governance,Beginner,4 hours
C186,Data Governance Practitioner,Management,Data Governance,Intermediate,5 hours
C187,Advanced Data Governance,Management,Data Governance,Advanced,6 hours
C188,Introduction to Data Quality,Management,Data Quality,Beginner,4 hours
C189,Data Quality Practitioner,Management,Data Quality,Intermediate,5 hours
C190,Advanced Data Quality,Management,Data Quality,Advanced,6 hours
C191,Introduction to Data Architecture,Technical,Data Architecture,Beginner,4 hours
C192,Data Architecture Practitioner,Technical,Data Architecture,Intermediate,5 hours
C193,Advanced Data Architecture,Technical,Data Architecture,Advanced,6 hours
C194,Introduction to Data Modeling,Technical,Data Modeling,Beginner,4 hours
C195,Data Modeling Practitioner,Technical,Data Modeling,Intermediate,5 hours
C196,Advanced Data Modeling,Technical,Data Modeling,Advanced,6 hours
C197,Introduction to Data Warehousing,Technical,Data Warehousing,Beginner,4 hours
C198,Data Warehousing Practitioner,Technical,Data Warehousing,Intermediate,5 hours
C199,Advanced Data Warehousing,Technical,Data Warehousing,Advanced,6 hours
C200,Introduction to ETL Processes,Technical,ETL,Beginner,4 hours
C201,ETL Processes Practitioner,Technical,ETL,Intermediate,5 hours
C202,Advanced ETL Processes,Technical,ETL,Advanced,6 hours
C203,Introduction to Data Lakes,Technical,Data Lakes,Beginner,4 hours
C204,Data Lakes Practitioner,Technical,Data Lakes,Intermediate,5 hours
C205,Advanced Data Lakes,Technical,Data Lakes,Advanced,6 hours
C206,Introduction to Data Mesh,Technical,Data Mesh,Beginner,4 hours
C207,Data Mesh Practitioner,Technical,Data Mesh,Intermediate,5 hours
C208,Advanced Data Mesh,Technical,Data Mesh,Advanced,6 hours
C209,Introduction to Data Fabric,Technical,Data Fabric,Beginner,4 hours
C210,Data Fabric Practitioner,Technical,Data Fabric,Intermediate,5 hours
C211,Advanced Data Fabric,Technical,Data Fabric,Advanced,6 hours
C212,Introduction to DataOps,Technical,DataOps,Beginner,4 hours
C213,DataOps Practitioner,Technical,DataOps,Intermediate,5 hours
C214,Advanced DataOps,Technical,DataOps,Advanced,6 hours
C215,Introduction to MLOps,Technical,MLOps,Beginner,4 hours
C216,MLOps Practitioner,Technical,MLOps,Intermediate,5 hours
C217,Advanced MLOps,Technical,MLOps,Advanced,6 hours
C218,Introduction to AIOps,Technical,AIOps,Beginner,4 hours
C219,AIOps Practitioner,Technical,AIOps,Intermediate,5 hours
C220,Advanced AIOps,Technical,AIOps,Advanced,6 hours
C221,Introduction to ChatGPT for Business,Technical,ChatGPT,Beginner,4 hours
C222,ChatGPT for Business Practitioner,Technical,ChatGPT,Intermediate,5 hours
C223,Advanced ChatGPT for Business,Technical,ChatGPT,Advanced,6 hours
C224,Introduction to Prompt Engineering,Technical,Prompt Engineering,Beginner,4 hours
C225,Prompt Engineering Practitioner,Technical,Prompt Engineering,Intermediate,5 hours
C226,Advanced Prompt Engineering,Technical,Prompt Engineering,Advanced,6 hours
C227,Introduction to Ethical AI,Technical,AI Ethics,Beginner,4 hours
C228,AI Ethics Practitioner,Technical,AI Ethics,Intermediate,5 hours
C229,Advanced AI Ethics,Technical,AI Ethics,Advanced,6 hours
C230,Introduction to AI Governance,Technical,AI Governance,Beginner,4 hours
C231,AI Governance Practitioner,Technical,AI Governance,Intermediate,5 hours
C232,Advanced AI Governance,Technical,AI Governance,Advanced,6 hours
C233,Introduction to AI Strategy,Technical,AI Strategy,Beginner,4 hours
C234,AI Strategy Practitioner,Technical,AI Strategy,Intermediate,5 hours
C235,Advanced AI Strategy,Technical,AI Strategy,Advanced,6 hours
C236,Introduction to AI Risk Management,Technical,AI Risk Management,Beginner,4 hours
C237,AI Risk Management Practitioner,Technical,AI Risk Management,Intermediate,5 hours
C238,Advanced AI Risk Management,Technical,AI Risk Management,Advanced,6 hours
C239,Introduction to AI and Society,Technical,AI and Society,Beginner,4 hours
C240,AI and Society Practitioner,Technical,AI and Society,Intermediate,5 hours
C241,Advanced AI and Society,Technical,AI and Society,Advanced,6 hours
C242,Introduction to AI for Healthcare,Technical,AI in Healthcare,Beginner,4 hours
C243,AI for Healthcare Practitioner,Technical,AI in Healthcare,Intermediate,5 hours
C244,Advanced AI for Healthcare,Technical,AI in Healthcare,Advanced,6 hours
C245,Introduction to AI for Finance,Technical,AI in Finance,Beginner,4 hours
C246,AI for Finance Practitioner,Technical,AI in Finance,Intermediate,5 hours
C247,Advanced AI for Finance,Technical,AI in Finance,Advanced,6 hours
C248,Introduction to AI for Marketing,Technical,AI in Marketing,Beginner,4 hours
C249,AI for Marketing Practitioner,Technical,AI in Marketing,Intermediate,5 hours
C250,Advanced AI for Marketing,Technical,AI in Marketing,Advanced,6 hours
C251,Introduction to AI for Sales,Technical,AI in Sales,Beginner,4 hours
C252,AI for Sales Practitioner,Technical,AI in Sales,Intermediate,5 hours
C253,Advanced AI for Sales,Technical,AI in Sales,Advanced,6 hours
C254,Introduction to AI for Customer Service,Technical,AI in Customer Service,Beginner,4 hours
C255,AI for Customer Service Practitioner,Technical,AI in Customer Service,Intermediate,5 hours
C256,Advanced AI for Customer Service,Technical,AI in Customer Service,Advanced,6 hours
C257,Introduction to AI for Supply Chain,Technical,AI in Supply Chain,Beginner,4 hours
C258,AI for Supply Chain Practitioner,Technical,AI in Supply Chain,Intermediate,5 hours
C259,Advanced AI for Supply Chain,Technical,AI in Supply Chain,Advanced,6 hours
C260,Introduction to AI for Manufacturing,Technical,AI in Manufacturing,Beginner,4 hours
C261,AI for Manufacturing Practitioner,Technical,AI in Manufacturing,Intermediate,5 hours
C262,Advanced AI for Manufacturing,Technical,AI in Manufacturing,Advanced,6 hours
C263,Introduction to AI for Logistics,Technical,AI in Logistics,Beginner,4 hours
C264,AI for Logistics Practitioner,Technical,AI in Logistics,Intermediate,5 hours
C265,Advanced AI for Logistics,Technical,AI in Logistics,Advanced,6 hours
C266,Introduction to AI for Retail,Technical,AI in Retail,Beginner,4 hours
C267,AI for Retail Practitioner,Technical,AI in Retail,Intermediate,5 hours
C268,Advanced AI for Retail,Technical,AI in Retail,Advanced,6 hours
C269,Introduction to AI for E-commerce,Technical,AI in E-commerce,Beginner,4 hours
C270,AI for E-commerce Practitioner,Technical,AI in E-commerce,Intermediate,5 hours
C271,Advanced AI for E-commerce,Technical,AI in E-commerce,Advanced,6 hours
C272,Introduction to AI for Education,Technical,AI in Education,Beginner,4 hours
C273,AI for Education Practitioner,Technical,AI in Education,Intermediate,5 hours
C274,Advanced AI for Education,Technical,AI in Education,Advanced,6 hours
C275,Introduction to AI for Government,Technical,AI in Government,Beginner,4 hours
C276,AI for Government Practitioner,Technical,AI in Government,Intermediate,5 hours
C277,Advanced AI for Government,Technical,AI in Government,Advanced,6 hours
C278,Introduction to AI for Nonprofits,Technical,AI in Nonprofits,Beginner,4 hours
C279,AI for Nonprofits Practitioner,Technical,AI in Nonprofits,Intermediate,5 hours
C280,Advanced AI for Nonprofits,Technical,AI in Nonprofits,Advanced,6 hours
C281,Introduction to AI for Startups,Technical,AI in Startups,Beginner,4 hours
C282,AI for Startups Practitioner,Technical,AI in Startups,Intermediate,5 hours
C283,Advanced AI for Startups,Technical,AI in Startups,Advanced,6 hours
C284,Introduction to AI for Small Business,Technical,AI in Small Business,Beginner,4 hours
C285,AI for Small Business Practitioner,Technical,AI in Small Business,Intermediate,5 hours
C286,Advanced AI for Small Business,Technical,AI in Small Business,Advanced,6 hours
C287,Introduction to AI for Entrepreneurs,Technical,AI in Entrepreneurs,Beginner,4 hours
C288,AI for Entrepreneurs Practitioner,Technical,AI in Entrepreneurs,Intermediate,5 hours
C289,Advanced AI for Entrepreneurs,Technical,AI in Entrepreneurs,Advanced,6 hours
C290,Introduction to AI for Executives,Technical,AI in Executives,Beginner,4 hours
C291,AI for Executives Practitioner,Technical,AI in Executives,Intermediate,5 hours
C292,Advanced AI for Executives,Technical,AI in Executives,Advanced,6 hours
C293,Introduction to AI for Managers,Technical,AI in Managers,Beginner,4 hours
C294,AI for Managers Practitioner,Technical,AI in Managers,Intermediate,5 hours
C295,Advanced AI for Managers,Technical,AI in Managers,Advanced,6 hours
C296,Introduction to AI for Leaders,Technical,AI in Leaders,Beginner,4 hours
C297,AI for Leaders Practitioner,Technical,AI in Leaders,Intermediate,5 hours
C298,Advanced AI for Leaders,Technical,AI in Leaders,Advanced,6 hours
C299,Introduction to AI for Teams,Technical,AI in Teams,Beginner,4 hours
C300,AI for Teams Practitioner,Technical,AI in Teams,Intermediate,5 hours
C301,Advanced AI for Teams,Technical,AI in Teams,Advanced,6 hours
C302,Introduction to AI for Organizations,Technical,AI in Organizations,Beginner,4 hours
C303,AI for Organizations Practitioner,Technical,AI in Organizations,Intermediate,5 hours
C304,Advanced AI for Organizations,Technical,AI in Organizations,Advanced,6 hours
C305,Introduction to AI for Society,Technical,AI in Society,Beginner,4 hours
C306,AI for Society Practitioner,Technical,AI in Society,Intermediate,5 hours
C307,Advanced AI for Society,Technical,AI in Society,Advanced,6 hours
C308,Introduction to AI for the Public Sector,Technical,AI in Public Sector,Beginner,4 hours
C309,AI for the Public Sector Practitioner,Technical,AI in Public Sector,Intermediate,5 hours
C310,Advanced AI for the Public Sector,Technical,AI in Public Sector,Advanced,6 hours
C311,Introduction to AI for the Private Sector,Technical,AI in Private Sector,Beginner,4 hours
C312,AI for the Private Sector Practitioner,Technical,AI in Private Sector,Intermediate,5 hours
C313,Advanced AI for the Private Sector,Technical,AI in Private Sector,Advanced,6 hours
C314,Introduction to AI for the Nonprofit Sector,Technical,AI in Nonprofit Sector,Beginner,4 hours
C315,AI for the Nonprofit Sector Practitioner,Technical,AI in Nonprofit Sector,Intermediate,5 hours
C316,Advanced AI for the Nonprofit Sector,Technical,AI in Nonprofit Sector,Advanced,6 hours
C317,Introduction to AI for the Education Sector,Technical,AI in Education Sector,Beginner,4 hours
C318,AI for the Education Sector Practitioner,Technical,AI in Education Sector,Intermediate,5 hours
C319,Advanced AI for the Education Sector,Technical,AI in Education Sector,Advanced,6 hours
C320,Introduction to AI for the Healthcare Sector,Technical,AI in Healthcare Sector,Beginner,4 hours
C321,AI for the Healthcare Sector Practitioner,Technical,AI in Healthcare Sector,Intermediate,5 hours
C322,Advanced AI for the Healthcare Sector,Technical,AI in Healthcare Sector,Advanced,6 hours
C323,Introduction to AI for the Financial Sector,Technical,AI in Financial Sector,Beginner,4 hours
C324,AI for the Financial Sector Practitioner,Technical,AI in Financial Sector,Intermediate,5 hours
C325,Advanced AI for the Financial Sector,Technical,AI in Financial Sector,Advanced,6 hours
C326,Introduction to AI for the Marketing Sector,Technical,AI in Marketing Sector,Beginner,4 hours
C327,AI for the Marketing Sector Practitioner,Technical,AI in Marketing Sector,Intermediate,5 hours
C328,Advanced AI for the Marketing Sector,Technical,AI in Marketing Sector,Advanced,6 hours
C329,Introduction to AI for the Sales Sector,Technical,AI in Sales Sector,Beginner,4 hours
C330,AI for the Sales Sector Practitioner,Technical,AI in Sales Sector,Intermediate,5 hours
C331,Advanced AI for the Sales Sector,Technical,AI in Sales Sector,Advanced,6 hours
C332,Introduction to AI for the Customer Service Sector,Technical,AI in Customer Service Sector,Beginner,4 hours
C333,AI for the Customer Service Sector Practitioner,Technical,AI in Customer Service Sector,Intermediate,5 hours
C334,Advanced AI for the Customer Service Sector,Technical,AI in Customer Service Sector,Advanced,6 hours
C335,Introduction to AI for the Supply Chain Sector,Technical,AI in Supply Chain Sector,Beginner,4 hours
C336,AI for the Supply Chain Sector Practitioner,Technical,AI in Supply Chain Sector,Intermediate,5 hours
C337,Advanced AI for the Supply Chain Sector,Technical,AI in Supply Chain Sector,Advanced,6 hours
C338,Introduction to AI for the Manufacturing Sector,Technical,AI in Manufacturing Sector,Beginner,4 hours
C339,AI for the Manufacturing Sector Practitioner,Technical,AI in Manufacturing Sector,Intermediate,5 hours
C340,Advanced AI for the Manufacturing Sector,Technical,AI in Manufacturing Sector,Advanced,6 hours
C341,Introduction to AI for the Logistics Sector,Technical,AI in Logistics Sector,Beginner,4 hours
C342,AI for the Logistics Sector Practitioner,Technical,AI in Logistics Sector,Intermediate,5 hours
C343,Advanced AI for the Logistics Sector,Technical,AI in Logistics Sector,Advanced,6 hours
C344,Introduction to AI for the Retail Sector,Technical,AI in Retail Sector,Beginner,4 hours
C345,AI for the Retail Sector Practitioner,Technical,AI in Retail Sector,Intermediate,5 hours
C346,Advanced AI for the Retail Sector,Technical,AI in Retail Sector,Advanced,6 hours
C347,Introduction to AI for E-commerce,Technical,AI in E-commerce,Beginner,4 hours
C348,AI for E-commerce Practitioner,Technical,AI in E-commerce,Intermediate,5 hours
C349,Advanced AI for E-commerce,Technical,AI in E-commerce,Advanced,6 hours
C350,Introduction to AI for Education,Technical,AI in Education,Beginner,4 hours
C351,AI for Education Practitioner,Technical,AI in Education,Intermediate,5 hours
C352,Advanced AI for Education,Technical,AI in Education,Advanced,6 hours
C353,Introduction to AI for Government,Technical,AI in Government,Beginner,4 hours
C354,AI for Government Practitioner,Technical,AI in Government,Intermediate,5 hours
C355,Advanced AI for Government,Technical,AI in Government,Advanced,6 hours
